	img	Label
0	31818810_109.9539_0.jpg	1
1	65471800_109.9800_0.jpg	0
2	31818810_109.9539_0.jpg	1
3	46391071_112.6413_0.jpg	1
4	72836598_109.9759_0.jpg	0
5	93298141_110.0469_0.jpg	0
6	27233827_110.0323_0.jpg	0
7	72836598_109.9759_0.jpg	0
8	28312605_109.9774_0.jpg	0
9	52402023_110.0803_0.jpg	1
10	28312605_109.9774_0.jpg	0
11	59015617_110.0439_0.jpg	0
12	97019166_110.0322_0.jpg	1
13	97019166_110.0322_0.jpg	1
14	27757007_110.0062_0.jpg	1
15	27442001_109.9130_0.jpg	1
16	52402023_110.0803_0.jpg	1
17	65471800_109.9800_0.jpg	0
18	59015617_110.0439_0.jpg	0
19	27233827_110.0323_0.jpg	0
20	46391071_112.6413_0.jpg	1
21	40930554_109.9155_0.jpg	1
22	40930554_109.9155_0.jpg	1
23	93298141_110.0469_0.jpg	0
